rep,year,week,land_size,maxK,lambda1,lambda2,starting_cases,a_mort,j_mort,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,6,32,60,25,0.001,0,10,0.005,0.025,8658,0,0,0.17082467082467082,True
1,6,33,60,25,0.001,0,10,0.005,0.025,8482,0,0,0.17377976892242394,True
1,6,34,60,25,0.001,0,10,0.005,0.025,8335,0,0,0.17708458308338332,True
1,6,35,60,25,0.001,0,10,0.005,0.025,8113,0,0,0.18057438678663873,True
1,6,36,60,25,0.001,0,10,0.005,0.025,7933,0,0,0.18378923484180007,True
1,6,37,60,25,0.001,0,10,0.005,0.025,7765,0,0,0.18660656793303285,True
1,6,38,60,25,0.001,0,10,0.005,0.025,7646,0,0,0.1908187287470573,True
1,6,39,60,25,0.001,0,10,0.005,0.025,7525,0,0,0.19481727574750832,True
1,6,40,60,25,0.001,0,10,0.005,0.025,7437,0,0,0.19712249562995832,True
1,6,41,60,25,0.001,0,10,0.005,0.025,7568,0,0,0.2194767441860465,True
1,6,42,60,25,0.001,0,10,0.005,0.025,7498,0,0,0.22485996265670846,True
1,6,43,60,25,0.001,0,10,0.005,0.025,7421,0,0,0.22759735884651663,True
1,6,44,60,25,0.001,0,10,0.005,0.025,7357,0,0,0.22916949843686285,True
1,6,45,60,25,0.001,0,10,0.005,0.025,7277,0,0,0.23003985158719253,True
1,6,46,60,25,0.001,0,10,0.005,0.025,7053,0,0,0.22444349922019,True
1,6,47,60,25,0.001,0,10,0.005,0.025,6974,0,0,0.22411815314023517,True
1,6,48,60,25,0.001,0,10,0.005,0.025,6878,0,0,0.22564699040418726,True
1,6,49,60,25,0.001,0,10,0.005,0.025,6773,0,0,0.22944042521777647,True
1,6,50,60,25,0.001,0,10,0.005,0.025,6702,0,0,0.2294837361981498,True
1,6,51,60,25,0.001,0,10,0.005,0.025,6640,0,0,0.23147590361445783,True
1,6,52,60,25,0.001,0,10,0.005,0.025,6582,0,0,0.23503494378608325,True
