year,week,id,x,y,inc,inf
5,29,1413,1,20,1,1
5,29,1551,1,20,1,0
5,29,1635,1,20,1,1
5,29,1668,1,20,1,0
5,29,1689,5,16,1,0
5,29,1691,5,16,1,0
5,29,1712,2,19,1,0
5,30,285,3,18,1,1
5,30,425,1,20,1,1
5,30,601,1,20,1,0
5,30,829,1,20,1,0
5,30,1551,1,20,1,1
5,30,1668,2,19,1,0
5,30,1689,4,17,1,0
5,30,1691,4,17,1,0
5,30,1712,3,18,1,0
5,31,285,2,19,1,1
5,31,425,1,20,1,1
5,31,601,1,20,1,1
5,31,829,2,19,1,0
5,31,1551,2,19,1,1
5,31,1668,3,18,1,1
5,31,1689,5,16,1,0
5,31,1691,5,16,1,0
5,31,1712,2,19,1,1
5,32,601,1,20,1,1
5,32,829,3,18,1,1
5,32,1647,4,17,1,0
5,32,1668,4,17,1,1
5,32,1689,4,17,1,1
5,32,1691,4,17,1,0
5,32,1754,1,20,1,0
5,32,1808,4,17,1,0
5,33,97,5,16,1,0
5,33,353,4,17,1,0
5,33,829,4,17,1,1
5,33,1647,5,16,1,0
5,33,1689,5,16,1,1
5,33,1691,5,16,1,0
5,33,1754,1,20,1,1
5,33,1808,5,16,1,0
5,34,97,4,17,1,1
5,34,353,5,16,1,0
5,34,1647,4,17,1,0
5,34,1691,4,17,1,0
5,34,1754,1,20,1,1
5,34,1796,1,20,1,0
5,34,1808,4,17,1,0
5,35,97,5,16,1,1
5,35,353,4,17,1,1
5,35,564,5,16,1,0
5,35,1647,4,17,1,1
5,35,1691,5,16,1,1
5,35,1796,1,20,1,0
5,35,1808,5,16,1,0
5,36,353,5,16,1,1
5,36,564,4,17,1,0
5,36,1487,4,17,1,0
5,36,1647,4,17,1,1
5,36,1691,4,17,1,1
5,36,1796,1,20,1,1
5,36,1808,4,17,1,1
5,37,564,5,16,1,0
5,37,1487,4,17,1,0
5,37,1796,1,20,1,1
5,37,1808,5,16,1,1
5,38,564,4,17,1,0
5,38,1487,4,17,1,0
5,39,564,5,16,1,0
5,39,1487,4,17,1,1
5,40,1487,5,16,1,1
5,40,1623,5,16,1,0
5,41,1623,4,17,1,0
5,42,1623,5,16,1,0
5,43,1623,4,17,1,0
5,44,1623,5,16,1,1
5,45,1623,4,17,1,1
