rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,4,9,0.4,propagule,0.1,0,0.0,1004,0,0
1,4,10,0.4,propagule,0.1,0,0.0,999,0,0
1,4,11,0.4,propagule,0.1,0,0.0,994,0,0
1,4,12,0.4,propagule,0.1,0,0.0,989,0,0
1,4,13,0.4,propagule,0.1,0,0.0,989,0,0
1,4,14,0.4,propagule,0.1,0,0.0,988,0,0
1,4,15,0.4,propagule,0.1,0,0.0,970,0,0
1,4,16,0.4,propagule,0.1,0,0.0,966,0,0
1,4,17,0.4,propagule,0.1,0,0.0,965,0,0
1,4,18,0.4,propagule,0.1,0,0.0,964,0,0
1,4,19,0.4,propagule,0.1,0,0.0,960,0,0
1,4,20,0.4,propagule,0.1,0,0.0,1414,0,0
1,4,21,0.4,propagule,0.1,0,0.0,1369,0,0
1,4,22,0.4,propagule,0.1,0,0.0,1335,0,0
1,4,23,0.4,propagule,0.1,0,0.0,1353,0,0
1,4,24,0.4,propagule,0.1,0,0.0,1311,0,0
1,4,25,0.4,propagule,0.1,0,0.0,1314,0,0
1,4,26,0.4,propagule,0.1,0,0.0,1296,0,0
1,4,27,0.4,propagule,0.1,0,0.0,1236,0,0
1,4,28,0.4,propagule,0.1,0,0.0,1225,0,0
1,4,29,0.4,propagule,0.1,0,0.0,1202,0,0
1,4,30,0.4,propagule,0.1,0,0.0,1180,0,0
1,4,31,0.4,propagule,0.1,0,0.0,1172,0,0
1,4,32,0.4,propagule,0.1,0,0.0,1150,0,0
1,4,33,0.4,propagule,0.1,0,0.0,1135,0,0
1,4,34,0.4,propagule,0.1,0,0.0,1120,0,0
1,4,35,0.4,propagule,0.1,0,0.0,1084,0,0
1,4,36,0.4,propagule,0.1,0,0.0,1069,0,0
1,4,37,0.4,propagule,0.1,0,0.0,1032,0,0
1,4,38,0.4,propagule,0.1,0,0.0,1024,0,0
1,4,39,0.4,propagule,0.1,0,0.0,1000,0,0
1,4,40,0.4,propagule,0.1,0,0.0,988,0,0
1,4,41,0.4,propagule,0.1,0,0.0,973,0,0
1,4,42,0.4,propagule,0.1,0,0.0,937,0,0
1,4,43,0.4,propagule,0.1,0,0.0,933,0,0
1,4,44,0.4,propagule,0.1,0,0.0,918,0,0
1,4,45,0.4,propagule,0.1,0,0.0,902,0,0
1,4,46,0.4,propagule,0.1,0,0.0,887,0,0
1,4,47,0.4,propagule,0.1,0,0.0,886,0,0
1,4,48,0.4,propagule,0.1,0,0.0,856,0,0
1,4,49,0.4,propagule,0.1,0,0.0,863,0,0
1,4,50,0.4,propagule,0.1,0,0.0,855,0,0
1,4,51,0.4,propagule,0.1,0,0.0,854,0,0
1,4,52,0.4,propagule,0.1,0,0.0,846,0,0
1,5,1,0.4,propagule,0.1,0,0.0,853,0,0
1,5,2,0.4,propagule,0.1,0,0.0,841,0,0
1,5,3,0.4,propagule,0.1,0,0.0,847,0,0
1,5,4,0.4,propagule,0.1,0,0.0,822,0,0
1,5,5,0.4,propagule,0.1,0,0.0,822,0,0
1,5,6,0.4,propagule,0.1,0,0.0,803,0,0
1,5,7,0.4,propagule,0.1,0,0.0,805,0,0
1,5,8,0.4,propagule,0.1,0,0.0,803,0,0
1,5,9,0.4,propagule,0.1,0,0.0,795,0,0
1,5,10,0.4,propagule,0.1,0,0.0,794,0,0
1,5,11,0.4,propagule,0.1,0,0.0,793,0,0
1,5,12,0.4,propagule,0.1,0,0.0,788,0,0
1,5,13,0.4,propagule,0.1,0,0.0,791,0,0
1,5,14,0.4,propagule,0.1,0,0.0,786,0,0
1,5,15,0.4,propagule,0.1,0,0.0,788,0,0
1,5,16,0.4,propagule,0.1,0,0.0,782,0,0
1,5,17,0.4,propagule,0.1,0,0.0,774,0,0
1,5,18,0.4,propagule,0.1,0,0.0,771,0,0
1,5,19,0.4,propagule,0.1,0,0.0,771,0,0
