rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,5,10,0.4,wave,0.1,1,0.03805555555555556,836,0,0
1,5,11,0.4,wave,0.1,1,0.03805555555555556,840,0,0
1,5,12,0.4,wave,0.1,1,0.03805555555555556,826,0,0
1,5,13,0.4,wave,0.1,1,0.03805555555555556,829,0,0
1,5,14,0.4,wave,0.1,1,0.03805555555555556,816,0,0
1,5,15,0.4,wave,0.1,1,0.03805555555555556,822,0,0
1,5,16,0.4,wave,0.1,1,0.03805555555555556,808,0,0
1,5,17,0.4,wave,0.1,1,0.03805555555555556,815,0,0
1,5,18,0.4,wave,0.1,1,0.03805555555555556,800,0,0
1,5,19,0.4,wave,0.1,1,0.03805555555555556,807,0,0
1,5,20,0.4,wave,0.1,1,0.03805555555555556,1198,0,0
1,5,21,0.4,wave,0.1,1,0.03805555555555556,1168,0,0
1,5,22,0.4,wave,0.1,1,0.03805555555555556,1138,0,0
1,5,23,0.4,wave,0.1,1,0.03805555555555556,1124,0,0
1,5,24,0.4,wave,0.1,1,0.03805555555555556,1097,0,0
1,5,25,0.4,wave,0.1,1,0.03805555555555556,1095,0,0
1,5,26,0.4,wave,0.1,1,0.03805555555555556,1079,0,0
1,5,27,0.4,wave,0.1,1,0.03805555555555556,1074,0,0
1,5,28,0.4,wave,0.1,1,0.03805555555555556,1052,0,0
1,5,29,0.4,wave,0.1,1,0.03805555555555556,1030,0,0
1,5,30,0.4,wave,0.1,1,0.03805555555555556,1014,0,0
1,5,31,0.4,wave,0.1,1,0.03805555555555556,1021,0,0
1,5,32,0.4,wave,0.1,1,0.03805555555555556,990,0,0
1,5,33,0.4,wave,0.1,1,0.03805555555555556,998,0,0
1,5,34,0.4,wave,0.1,1,0.03805555555555556,955,0,0
1,5,35,0.4,wave,0.1,1,0.03805555555555556,961,0,0
1,5,36,0.4,wave,0.1,1,0.03805555555555556,938,0,0
1,5,37,0.4,wave,0.1,1,0.03805555555555556,943,0,0
1,5,38,0.4,wave,0.1,1,0.03805555555555556,906,0,0
1,5,39,0.4,wave,0.1,1,0.03805555555555556,920,0,0
1,5,40,0.4,wave,0.1,1,0.03805555555555556,897,0,0
1,5,41,0.4,wave,0.1,1,0.03805555555555556,889,0,0
1,5,42,0.4,wave,0.1,1,0.03805555555555556,867,0,0
1,5,43,0.4,wave,0.1,1,0.03805555555555556,867,0,0
1,5,44,0.4,wave,0.1,1,0.03805555555555556,855,0,0
1,5,45,0.4,wave,0.1,1,0.03805555555555556,858,0,0
1,5,46,0.4,wave,0.1,1,0.03805555555555556,845,0,0
1,5,47,0.4,wave,0.1,1,0.03805555555555556,848,0,0
1,5,48,0.4,wave,0.1,1,0.03805555555555556,834,0,0
1,5,49,0.4,wave,0.1,1,0.03805555555555556,836,0,0
1,5,50,0.4,wave,0.1,1,0.03805555555555556,809,0,0
1,5,51,0.4,wave,0.1,1,0.03805555555555556,796,0,0
1,5,52,0.4,wave,0.1,1,0.03805555555555556,779,0,0
1,6,1,0.4,wave,0.1,1,0.03805555555555556,785,0,0
1,6,2,0.4,wave,0.1,1,0.03805555555555556,767,0,0
1,6,3,0.4,wave,0.1,1,0.03805555555555556,772,0,0
1,6,4,0.4,wave,0.1,1,0.03805555555555556,761,0,0
1,6,5,0.4,wave,0.1,1,0.03805555555555556,766,0,0
1,6,6,0.4,wave,0.1,1,0.03805555555555556,756,0,0
1,6,7,0.4,wave,0.1,1,0.03805555555555556,761,0,0
1,6,8,0.4,wave,0.1,1,0.03805555555555556,746,0,0
1,6,9,0.4,wave,0.1,1,0.03805555555555556,750,0,0
1,6,10,0.4,wave,0.1,1,0.03805555555555556,736,0,0
1,6,11,0.4,wave,0.1,1,0.03805555555555556,745,0,0
1,6,12,0.4,wave,0.1,1,0.03805555555555556,735,0,0
1,6,13,0.4,wave,0.1,1,0.03805555555555556,743,0,0
1,6,14,0.4,wave,0.1,1,0.03805555555555556,731,0,0
1,6,15,0.4,wave,0.1,1,0.03805555555555556,739,0,0
1,6,16,0.4,wave,0.1,1,0.03805555555555556,726,0,0
1,6,17,0.4,wave,0.1,1,0.03805555555555556,732,0,0
1,6,18,0.4,wave,0.1,1,0.03805555555555556,718,0,0
1,6,19,0.4,wave,0.1,1,0.03805555555555556,726,0,0
1,6,20,0.4,wave,0.1,1,0.03805555555555556,1048,0,0
1,6,21,0.4,wave,0.1,1,0.03805555555555556,1032,0,0
1,6,22,0.4,wave,0.1,1,0.03805555555555556,1019,0,0
1,6,23,0.4,wave,0.1,1,0.03805555555555556,1019,0,0
1,6,24,0.4,wave,0.1,1,0.03805555555555556,989,0,0
1,6,25,0.4,wave,0.1,1,0.03805555555555556,992,0,0
1,6,26,0.4,wave,0.1,1,0.03805555555555556,954,0,0
1,6,27,0.4,wave,0.1,1,0.03805555555555556,969,0,0
1,6,28,0.4,wave,0.1,1,0.03805555555555556,956,0,0
1,6,29,0.4,wave,0.1,1,0.03805555555555556,970,0,0
1,6,30,0.4,wave,0.1,1,0.03805555555555556,957,0,0
1,6,31,0.4,wave,0.1,1,0.03805555555555556,962,0,0
1,6,32,0.4,wave,0.1,1,0.03805555555555556,951,0,0
1,6,33,0.4,wave,0.1,1,0.03805555555555556,939,0,0
1,6,34,0.4,wave,0.1,1,0.03805555555555556,928,0,0
1,6,35,0.4,wave,0.1,1,0.03805555555555556,934,0,0
1,6,36,0.4,wave,0.1,1,0.03805555555555556,921,0,0
1,6,37,0.4,wave,0.1,1,0.03805555555555556,926,0,0
1,6,38,0.4,wave,0.1,1,0.03805555555555556,913,0,0
1,6,39,0.4,wave,0.1,1,0.03805555555555556,903,0,0
1,6,40,0.4,wave,0.1,1,0.03805555555555556,895,0,0
1,6,41,0.4,wave,0.1,1,0.03805555555555556,892,0,0
1,6,42,0.4,wave,0.1,1,0.03805555555555556,870,0,0
1,6,43,0.4,wave,0.1,1,0.03805555555555556,874,0,0
1,6,44,0.4,wave,0.1,1,0.03805555555555556,866,0,0
1,6,45,0.4,wave,0.1,1,0.03805555555555556,871,0,0
1,6,46,0.4,wave,0.1,1,0.03805555555555556,856,0,0
1,6,47,0.4,wave,0.1,1,0.03805555555555556,847,0,0
1,6,48,0.4,wave,0.1,1,0.03805555555555556,834,0,0
1,6,49,0.4,wave,0.1,1,0.03805555555555556,842,0,0
1,6,50,0.4,wave,0.1,1,0.03805555555555556,816,0,0
1,6,51,0.4,wave,0.1,1,0.03805555555555556,812,0,0
1,6,52,0.4,wave,0.1,1,0.03805555555555556,798,0,0
1,7,1,0.4,wave,0.1,1,0.03805555555555556,807,0,0
1,7,2,0.4,wave,0.1,1,0.03805555555555556,790,0,0
1,7,3,0.4,wave,0.1,1,0.03805555555555556,794,0,0
1,7,4,0.4,wave,0.1,1,0.03805555555555556,784,0,0
1,7,5,0.4,wave,0.1,1,0.03805555555555556,791,0,0
1,7,6,0.4,wave,0.1,1,0.03805555555555556,768,0,0
1,7,7,0.4,wave,0.1,1,0.03805555555555556,774,0,0
1,7,8,0.4,wave,0.1,1,0.03805555555555556,766,0,0
1,7,9,0.4,wave,0.1,1,0.03805555555555556,773,0,0
1,7,10,0.4,wave,0.1,1,0.03805555555555556,762,0,0
1,7,11,0.4,wave,0.1,1,0.03805555555555556,768,0,0
1,7,12,0.4,wave,0.1,1,0.03805555555555556,759,0,0
1,7,13,0.4,wave,0.1,1,0.03805555555555556,765,0,0
1,7,14,0.4,wave,0.1,1,0.03805555555555556,755,0,0
1,7,15,0.4,wave,0.1,1,0.03805555555555556,763,0,0
1,7,16,0.4,wave,0.1,1,0.03805555555555556,745,0,0
1,7,17,0.4,wave,0.1,1,0.03805555555555556,750,0,0
1,7,18,0.4,wave,0.1,1,0.03805555555555556,732,0,0
1,7,19,0.4,wave,0.1,1,0.03805555555555556,737,0,0
1,7,20,0.4,wave,0.1,1,0.03805555555555556,1077,0,0
1,7,21,0.4,wave,0.1,1,0.03805555555555556,1061,0,0
1,7,22,0.4,wave,0.1,1,0.03805555555555556,1029,0,0
1,7,23,0.4,wave,0.1,1,0.03805555555555556,1003,0,0
1,7,24,0.4,wave,0.1,1,0.03805555555555556,967,0,0
1,7,25,0.4,wave,0.1,1,0.03805555555555556,978,0,0
1,7,26,0.4,wave,0.1,1,0.03805555555555556,956,0,0
1,7,27,0.4,wave,0.1,1,0.03805555555555556,950,0,0
1,7,28,0.4,wave,0.1,1,0.03805555555555556,938,0,0
1,7,29,0.4,wave,0.1,1,0.03805555555555556,948,0,0
1,7,30,0.4,wave,0.1,1,0.03805555555555556,925,0,0
1,7,31,0.4,wave,0.1,1,0.03805555555555556,913,0,0
1,7,32,0.4,wave,0.1,1,0.03805555555555556,901,0,0
1,7,33,0.4,wave,0.1,1,0.03805555555555556,865,0,0
1,7,34,0.4,wave,0.1,1,0.03805555555555556,870,0,0
1,7,35,0.4,wave,0.1,1,0.03805555555555556,865,0,0
1,7,36,0.4,wave,0.1,1,0.03805555555555556,857,0,0
1,7,37,0.4,wave,0.1,1,0.03805555555555556,840,0,0
1,7,38,0.4,wave,0.1,1,0.03805555555555556,829,0,0
1,7,39,0.4,wave,0.1,1,0.03805555555555556,833,0,0
1,7,40,0.4,wave,0.1,1,0.03805555555555556,826,0,0
1,7,41,0.4,wave,0.1,1,0.03805555555555556,816,0,0
1,7,42,0.4,wave,0.1,1,0.03805555555555556,804,0,0
1,7,43,0.4,wave,0.1,1,0.03805555555555556,802,0,0
1,7,44,0.4,wave,0.1,1,0.03805555555555556,798,0,0
1,7,45,0.4,wave,0.1,1,0.03805555555555556,794,0,0
1,7,46,0.4,wave,0.1,1,0.03805555555555556,786,0,0
1,7,47,0.4,wave,0.1,1,0.03805555555555556,787,0,0
1,7,48,0.4,wave,0.1,1,0.03805555555555556,783,0,0
1,7,49,0.4,wave,0.1,1,0.03805555555555556,773,0,0
1,7,50,0.4,wave,0.1,1,0.03805555555555556,756,0,0
1,7,51,0.4,wave,0.1,1,0.03805555555555556,758,0,0
1,7,52,0.4,wave,0.1,1,0.03805555555555556,753,0,0
1,8,1,0.4,wave,0.1,1,0.03805555555555556,753,0,0
1,8,2,0.4,wave,0.1,1,0.03805555555555556,750,0,0
1,8,3,0.4,wave,0.1,1,0.03805555555555556,748,0,0
1,8,4,0.4,wave,0.1,1,0.03805555555555556,747,0,0
1,8,5,0.4,wave,0.1,1,0.03805555555555556,748,0,0
1,8,6,0.4,wave,0.1,1,0.03805555555555556,746,0,0
1,8,7,0.4,wave,0.1,1,0.03805555555555556,745,0,0
1,8,8,0.4,wave,0.1,1,0.03805555555555556,742,0,0
1,8,9,0.4,wave,0.1,1,0.03805555555555556,742,0,0
1,8,10,0.4,wave,0.1,1,0.03805555555555556,734,0,0
1,8,11,0.4,wave,0.1,1,0.03805555555555556,734,0,0
1,8,12,0.4,wave,0.1,1,0.03805555555555556,730,0,0
1,8,13,0.4,wave,0.1,1,0.03805555555555556,729,0,0
1,8,14,0.4,wave,0.1,1,0.03805555555555556,727,0,0
1,8,15,0.4,wave,0.1,1,0.03805555555555556,728,0,0
